labels,text
anger,"quotIn your do not sin do not let the sun go down while you are still angry, and DO NOT GIVE THE DEVIL A FOOTHOLD. quot Ephesians "
sadness,"sleepy time. cant wait to work with  tomorrow, considering her days are numbered dontwannathinkaboutit "
fear, I'm also putting off getting an eye test as I know ill need glasses! 
joy," Jon bought me a luffly Radley purse yesterday  very nice, lucky you! ! x "
fear,''What is profound might become absolutely meaningless'' 
surprise,back on the internet no such thing as writing essays. 
sadness,I want cake. I bet we don't have any. 
surprise,"Je viens de voir le film Les Schtroumpfs avec mes enfants. Et j'ai beaucoup ri. Par contre, bien sûr téléchargercesttrèsmal "
joy,"Remember, men need laughter sometimes more than food. "
joy,Great. . . thanksgiving. mad people in my house for no apparent reason smh -_- 
fear,"Don't believe the lies, look me in the eyes- please don't be scared of me "
joy,"It's so cold in here every freaking girls boobs, including my own, have become their own powerpoint presentation. "
anger, I received my parcel trashed. It proves it was teared from backside and thing was removed. cheapservice 
surprise,"Got approved for a Kay credit card for up to $, going to buy James a watch! Shhhhhh lol "
joy,"Abundance is seeing lots and lots of family, eat lots of delicious food, see many beautiful places repeatedly over the last four days. "
surprise,Traffic jam of Bandra-Worli Sea link from Bandra to Worli. 
anger,Went upstairs for a min and came back to find my puppy ate a huge corner of my book. . . 
fear,Little hesitant to apply deodorant ever again 
joy,Enjoy this Day Beautiful World and Planet Earth's wonderful people! ! 
joy,Guess what? Its Thursday and I have tests today. . . 
sadness,Packing to leave tomorrow 
surprise,"Had me zo voorgenomen om Josey zelf zijn te laten maken. . . Waarom zit ik dan onder de behanglijm, glitters en verf? "
fear,Is it a lack of or a of loneliness that make people put up with bullshit 
fear, China has it right regarding Don't listen to the rhetoric amp mongering disguising oil amp gas motives 
surprise,I haven't listened to I Remember Me in full in a minute 
joy,gotta get up in hours to ride a plane 
joy,Happiness may shift with the circumstances but the Joy of the Lord gives you the Victory over the circumstances. 
anger,words cant even describe how i feel right nowww! mad cmonguys 
joy,bawling my eyes out and curled up. . . . i have never felt this sick so far 
fear,Had a coffee about hours ago and I'm coming up like a bastard with the and jitters now! Need naggins to calm me down ! ! ! 
joy,Working my first Campbell game of the year 
surprise,Your o dancing like your o big when your boob pops out scotch 
joy,After all that ive been through I still have The joy of the Lord is my strength. The devil cant steal my joy. Joy. GM TWEEPS! ! ! ! 
anger," you ok? ( is such a good hashtag, love getting evil feelings out that way! "
sadness,Is wanting  to be healthy to join me back in the paint 
surprise,"RT, follow  and WIN one of the special collector items that we are giving away to our Twitter friends! RT WIN "
joy,"Seein' folks, overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass! "
joy, COME take pictures with Comet The Bear in the Pearson Commons from - PM! ) Christmas pictures! ! ! 
anger,Annoying people who rung you and then hang up once you pick up the phone 
joy,Lost volleyball game to meadowlark 
joy,Nothing like a am dentist appointment to get your day started right. . . whatdididotodeservethis 
joy,Successful day of nothingness. D Now back to reality. 
fear,"Looking through old Facebook photos, I noticed circa late spring , aka graduation, that my eyes were bugged out. "
surprise,Arabic coursework deadline extended by a week! 
surprise,"Tyler Seguin (Boston), Ryan Nugent-Hopkins (Edmonton) and Jeff Skinner (Carolina) will not be made available for world juniors. "
surprise,watch'n the news ampamp this lady went to the ER for stomach cramps ampamp had a whole baby . . she didn kno she was preggo what a 
joy,"Our storms are designed to test out Faith. As a Christian we have the power to WIN in every situation. Cry but keep flying, "
joy,mom said someone ant work called her newborn girl LUBNA wohoo 
sadness,"Lol! I just did, too. RT  I forced some down anyway, lol I'll regret it later RT  No room for dessert. "
anger,We all are not worthy of God's forgiveness. We are saved by His loving grace. Don't harbor resentment. fear 
joy,at JAKARTA quotMAGICAL ELECTROquot W/ DJ's  CHRISTWIST KHALID amp MAGICIAN MASTER DANIEL GL DANES  
sadness,I meet Santa Claus! ! ! ! He said he couldn't bring me  me and  we're sad. 
sadness,I'll miss watching Buehrle on the south side. He was my favorite White Sox player. 
fear,And know I pop bottles because I bottle my emotions. . At least I put it all in the open. . 
anger," nevermind. forget it, and im so mad i forgot the moves earlier! "
joy,I am fucking extremely full! ! 
joy,Tweetin For My Big Brovaa Since His Fatt Ass Wanna Take Snack Breaks n Shitt. ! 
joy,"Such a pointless day at college, just ate mcdonalds now for fitness "
surprise,Wow! RT  I've got a feeling that very shortly we'll be making a special announcement for a very lucky person. . . ! 
disgust,"This covo in the car is so funny about dudes fucking dudes, in the hood "
surprise,"Mum and Dad left £ and some sweets on our bed, "
surprise,"aww. max gaat in de kast liggen en als ik er dan langs loop, valt ie me aan attack "
anger,At what point does Fred Hoiberg's heart doctor get concerned? 
sadness,Back from the hospital just in time for a tutorial. Today will not be a good day boredness fedupness 
joy,"Our pastor asked us to join in him in fasting, for days, in this eat right and exercise. "
surprise,Hannibal for the night for  birthday! ! ! 
surprise,It's so awesome to a woman when she gets outta the shower by eating her pussy. 
joy,I have a date mw. I haven't been this excited to go out in months. I feel the need to look pretty amp get flowers  nervous 
anger,  miss carmen u need to control that ask joey he does s good job s 
joy,mid terms begin next week. 
joy, it's okay I just won't get any pain pills til tomorrow cause my mom can't leave. . 
joy, OMG JUST ! i get the death stare tomorrow. . . . . 
joy,"Love when mt boyfriend gets drunk, and then no one knows where he is "
surprise,secretly learning a song on the piano. my parents will crap themselves when I preform for them Christmas day cheapgift 
joy,Kind of in an amazing mood  
joy,my sissy in law been cooking all day . 
sadness,"no matter how much i love her, or tweet her  will never tweet me back. "
joy,"Break! , Angels are cheering for you, blessing you. You are fully supported. Feel amp enjoy it. LJB "
surprise, On a été a la Vp ! ! Un petit cadeau t attend a Paris hihi lt 
joy,"I release all struggle now, and I am at peace. "
joy,Debate paper for history 
joy,Having a lie in tomorrow! Don't have to be up till . 
joy,o my fucking god new korn album is out 
sadness,Last day of art appreciation class 
disgust,"EWWW. Why is Matt Lewis saying that?  Very pleased with that. She's tidy. Good work, British public. XFactor” "
joy,My House Number Start W. but hers start W. ampamp She just live up the street 
sadness,dude wants  to drive to crafton for pot. now we're all even  josh is the one needing laid tho. help him guys 
fear,Never run away from your problem face them face to face cause so they will catch and never let goo. . . RIP Jane Kane 
joy,Life is looking up for the first time in awhile. I can truly do all things through Christ who strengthens me! 
fear,"J'ai cru que c'était qq'un qui se foutait de la gueule de  et non, c'est le vrai. Ça existe encore des gens comme ça. "
joy,My mom bought Star Wars candy canes for me. 
joy,"Break! Think of your favorite place in the world. Imagine being there right now. Hear, smell, feel, amp see it. LJB "
joy,Nice night of reading ahead 
joy,So ima spend my b-day movin my shit. 
surprise,"YAY! ! ! ! ! I love you! ) RT   Since you've whistled so loudly, come pick a Khazana Voucher for ,shs "
joy,In the gym this morning. . . Xmas tree afterwards then a nice - shift at waitrose. . . 
surprise,"Can you believe the debt committee is predicted to announce that they can't come to any sort of agreement? Shocking, I know. "
fear,"She Women share on of technology. Fear of not being able to find/trust sone to help. Impact limit potential, missed opportunities. "
joy,on the other hand. . . it does mean i have one less test to worry about. 
anger,An enraged person only gets angrier when you say “I completely understand. ” 
sadness,Radio degraded from some good songs to absolute shit 
disgust,"You me. I've never been more hurt by one person, never been treated like that. But I did it to myself, I'm the one to blame. "
joy,Me and my mom just got to the store and realized she left her purse at homep P 
joy, Expect your life to be filled with joy and it will be. DatingDiva 
fear,"The Lord taketh pleasure in them that fear him, in those that hope in his mercy. (KJV) hope mercy "
fear,"suffering from a of failure? what is the worst case scenario? If it is not that bad, why are you still afraid? Hmmm, I think I am goin… "
joy,Love and Hip Hop on my newsfeeds 
joy,Just woke up from a coma. . Now time to take an exam. 
joy,Open house sit in campus ministry 
sadness,Dick Vitale is calling the Ohio State/Duke game. 
surprise,Is going to win best boyfriend award for when she opens her door on her birthday! 
sadness,"this year, for the first time in my life, I will not have a christmas tree in my home "
joy,"God, got the most amazing pair of shoes ever today! My feet are going to be fucked up by the time I'm "
anger,i hate the human race. . . 
surprise,Walked into the last day of class to find out there is a quiz 
fear,My brother just left with my movie MarkWahlberg xAxAI miss it already! 
surprise, haha np! that was my first time seeing who was talking about my box bag on twitter~ 
anger,"ok free people skirt, hide and seeks over "
anger,I have to manage my since people can't manage their STUPIDITY 
surprise,I love telling people I have a degree. 
sadness,"Man, these Indian rappers from Brampton are almost as bad as the black ones. "
joy,Loves talking to my mom andd aunt abouut my summer romance with an older man KindaFunny 
fear,Its a big distraction from our lives. They create the illusion of so we accept their Solutions. $$ 
surprise,Sometimes something great and unexpected happens to turn it all around. moodbooster 
disgust,The fact that  wedding makes headlines and provides that pathetic excuse of a celebrity with more money makes me sick 
fear,"I feel as though I live in because there are things I'd like to say in this post, but losing my job. emptywords "
fear,"Twitter, you'll never see me run as fast again as I am from  right now. "
sadness,I wonder if my new emoticon keyboard works in Twitter. It does! Probably only visible to iPhone/iPad users tho. 
sadness,Really wanna go see the lights on the cumberland but the weather just won't cooperate 
sadness,hey  i miss you new friend. 
joy,First year working Black Friday! ! 
sadness, you guys missed out on free shots from nick! We got them right after you left 
sadness,Not even worth a rejection letter. 
joy,Its my birthday! I'm officially ( any shout outs? It would make me feel special. 
joy,perfect day to start the Christmas movies POLAR EXPRESS. 
surprise,omg my black and white cat misses/coco is in my room being nice GREATDAY 
joy,I love seeing cars with Christmas trees on top! 
joy,"What makes you rich isn't how much money you have in your bank account, but how much you feel everyday. happiness "
joy,Hell week started a day early 
joy,good morning world! 
joy,Am in the best real ale pub since the 
sadness,If you've never liked Nickelback then you pretty much wasted most of your life . 
fear," This seems to be a serious conversation! He seems to be making a proposal. Lol -) Thank you, Kat! I love you! XoXo. "
sadness,I'm exhausted but can't sleep. I just want my nap. 
joy,I love it when I have a big smile on my face for no reason. . . 
joy,"Everyone's going to India for Christmas break, well my ass is staying right here in the U. S. NRI haha "
anger,is rememered Pain and Fear is projecting it into the future. Guilt comes from pain with blame. Primary pain creates depression 
fear,is rememered and is projecting it into the future. Guilt comes from pain with blame. Primary pain creates depression 
fear,"I saw the world without any borders in my I was flying under the sun above the trees, no just love. Dreams are my reality "
sadness,"The that was filling this building from her, from his death will linger here well after we leave. Someone will feel it one day. "
joy,Oppassen op en Digo omdat  een zieke collega vervangt bij  en moeder  met de zus naar de Ikea is 
joy,"Wow! The Outlet Thanksgiving Dinner was MAH-JOR! LOVE seeing others honor, respectampcare so much! Food, friends, funampgames were excellent! "
joy,Gotta drive in the pitch black to work on the farm. 
surprise, hun. I've known I for years I think u can figure it out! Maybe a Christmas present! me 
sadness,more days of this break. . ( I don't want it to end. . 
joy, good to see you made it out of the library. 
joy,Great. Just noticed I have a spider bite on my face. Yay. 
surprise,Ben zooo bang dat ik een hint eruit heb laten vallen ofzo. . . echt iets voor mij. 
joy,Officially put in my two weeks notice at work! 
surprise,Feelin a bit sad tonight 
sadness,"God, don't show me any more I don't think my heart can take it. "
joy,eating a candy cane. . 
surprise, Wat een super leuk idee! Mag ik je idee stelen voor mijn zusje? 
joy,Time for bed before a big day of packing/moving and yet more packing 
surprise, happy early birthday girl we youuuu more! 
fear,Not walkin up stairs because you're afraid to trip going up. . 
surprise, yeah except for me its Kenny running around frantically trying to find me coz Justin is hiding coz its a P 
sadness,Someone went thru our mail and tore open my mom's bday card to me! Looking for $? Our neighbor on another street brought it over. 
fear,There is only one thing that makes a impossible to achieve the of failure. 
fear,Oh my god . . . did an awesome play on . . . . love that scene. 
joy,just finished the last paper I'll have to write for the rest of the semester D COPIOUS AMOUNTS OF ! ! ! 
surprise,Back down in giovanini for b. law amp the first person I make eye contact with is Coach dunnomytoyet alwaysbescanning FUNsight 
joy,"hour food technology exam today, "
fear,Fuck all of y'all we ignore feelings here 
joy," sala naseeb karab, katrina toh nai thi par usne hame train nai kiya hume swimsuit mein dekh dekh hass rahi thi "
sadness,I saw a dead Cardinal outside at lunch. I don't think it's a coincidence. 
joy,Don't Let That Nigga steal your. . . . He didn't give it To U. . . . . 
joy,so its that time of night where i just have this burst of energy and i wont be able to go to sleep for another hour or two. lol 
fear,On the way home from Chester. Zack drives like something off need for speed ( 
surprise,Went to the new balance outlet and switched all the left shoes with right ones. . that's what you get for not trying them on 
surprise,"  I figured it out! ! Yay me! However, Grams was totally in the dark! "
sadness,Today was a sad day. . . ( Im gonna miss you Emily. . tears 
joy,"Good thing all the union station exits dtla are all being blocked by cops. . . Got lost, now chilling at the hobo capital of the world. . "
sadness,"D'oh  Anna Kooiman leaving  Excuse me for a second, I need to collect my thoughts. "
fear,"of when your phone starts falling towards your face , but you save it. amazing "
joy," Je suis l'un des plus grand fan de François Feldman (quand j'étais enfant, maintenant, je ne l'écoute pas tout les jours) "
fear," not afraid of tomorrow, for I have seen yesterday and I love today less” "
joy,Have to sing to old people tomorrow. . . . 
surprise, Thanks. I am so moved by the response. But the real magic was seeing hundreds of people turn and see GRmi 
fear," not afraid of tomorrow, for I have seen yesterday and I love today less” good one! "
fear,"Crip Walk-Off? RT  ECS Preparty, I'm nervous for my digestive organs.    "
surprise,Can't wait to see  tonight! Little does she know that I'm sleeping in her bed. . . 
fear, is that how the kids visiting Penn State felt? -- Damn near piss my pants kicking it wit  and  
joy,Let's get this day over so I can go home and study 
joy,Just letting everybody know how late I was staying up finishing this stupid bacon + just a tad bit of sarcasm 
sadness,Spanish is the worst class. My teacher has been out for two weeks and my peers are proletariats. 
sadness,Jamming to Pandora. . . trying to bring some light to my bday weekend. . . I really wish I was able to go home and be with my family. . 
joy,"Bases loaded, Lysaught gets a ground rule double and RBI. Collins at the plate. Sox lead - soxade "
joy, lmfao no im staying in a normal hotel. . We get a tour of an amish village tmrw 
surprise," YES seriously my dream to get one. he can choose the song me. he is more popular,cool, and hotter. . . whatever heartyou "
surprise,I love running into peoples houses and jumping on them to wake their ass up! 
joy,"Cubiclenama by  is what Bill Bryson is for travelogues. S - Sharp, skeptic and sarcastic. "
joy,Round two of basketball games 
fear, Cats are afraid of water. Waterrain. Rainstorms. StormsLIGHTNING. Therefore Panthers Lightning. gobolts. 
surprise," indd, ik had voor noud ook axe gekocht alleen dan douche "
sadness,"Sooooo Tired, but I want to watch a movie. "
joy,"Está quase tudo pronto para a , agora só falta eu comprar aquele chapéu de bruxa para a festa de halloween que irá ter lá . "
joy,Awake at am. . . Thinking about Advent - love are only possible because of the gospel of Jesus fb 
joy,"Break! Riding in a hot air balloon, as you rise higher your frequency goes higher amp you feel clear amp light. LJB "
fear,"first, the (batman begins). . . . then, the limits (dark knight). . . . . im thinking like, fucking. . . . redemption (dark knight rises) "
surprise, c'est un gars il tweet trop pas et il apparait de temps en temps comme ca. 
joy,Why would i nap from -. . . cant sleep now and have to wake for a track meet in hours. . . 
fear,"I feel a certain strange surging thru my soul. . . . . , yet it feels so off-limits. . wht do I do. . . Wht. Is there to say? "
fear,. . . and guess what song just popped in my head. 
sadness,Camping out in  room because a giant pile of laundry was put on my bed and I have no time for such things. exhaustion 
surprise,Whatttttttttt Central Boy's Basketball Team beat East Hamilton 
joy, you alright Matt. Had a good day ? . Mines just started what a 
joy,Off to the hospital ! Then gonna have a nosy around NEXT for a swish suit ) woop 
sadness,Pain is my happiness. . darkness is my light. . . I'm one big void of nothingness. . . 
surprise,"Nu opruimen, dikke zooi! Dan beetje aan mijn surprise werken, koken met  dan meiden hier "
disgust,Watching and listening to people eat me 
joy," Buddy the elf, what's your favourite colour? "
sadness,It's not a proper relationship without friendship. . . But how do you get it back? 
fear,". . . for remember, fear doesn't exist anywhere except in the mind. quot - Dale Carnegie "
surprise,The cafe is serving bile or lunch! 
joy,John Arne Riise flattens the man who once flattened him with a golf club. 
sadness,Just made it north of the Mason-Dixon line missingthesouth 
joy,"If you're not smiling, you're like a person with a million dollars in the bank and no checkbook. happiness money "
surprise,March should be a good month if all goes to plan. 
surprise,    hell yeah! Lmao I'm doin it on my side lol 
anger,God im so mad its burning my fuckin stomach! 
fear,all this news has made me very nervous whenever i see a cop. even a friendly cop in the mall. i hate that. 
joy,Listening to someone in Smith sing from my room. 
sadness,Sitting here depressed n staring into space 
fear,is the lock ampamp laughter the key to your heart. ❤ 
fear," not afraid of tomorrow, for I have seen yesterday and I love today less” "
surprise, als jij bij de action bent kijk dan even hoeveel de normale pepernoten daar zijn en de chocolade letters 
joy,A wise person said Abundance in the universe is circulating. . if it needs to multiply give it away. . . Bread on water. . . Give 
joy,My niece calling to sing Happy Birthday to me love ! ! 
sadness,Back to the real world! ! 
anger,"YOU PUT THAT UKELELE AWAY OR I WILL RIP IT FROM YOUR HANDS AND BEAT YOU DEAD. We are studying, you dumb shit! "
sadness,Ça me manque de ne pas mettre mon doigt dans les narines de mon frere et de cramer les cheveux de mon colombinus d'amour ! 
surprise,Definitely did not feel hershey lights. . . . not as good as it was is middle school. 
disgust,The part where she drinks the blood is vomitar 
anger,. when yur dad's anger and yuu laugh. 
sadness,I'm going to miss staring angrily at  and  in the hallways this week. 
sadness,really? mcdonalds cafe machine isnt working. . no peppermint hot chocolate) 
fear,Big thanks to  for the picture. Made my night 
surprise,Is ze jarig? Doe een strik om je lul en bel bij dr aan 
joy, AMEN! amp you can tell Him ANYTHING! ! He is more than anxious to Grace u with spiritual maturity amp set u on your path. 
surprise, The Formula Australian Drivers Championship Calendar will be announced today. . . And it will be very good! 
joy,We just delivered a Christmas package to a family in need. You should have seen the kids' excitement! 
surprise,Excited for wednesday. . People are in for a surprise ) 
joy,Mawning. . . joy cms in d mawnin wen u survivd d nite. . . on ma mind 
sadness,you put clothes in the washing machine ampamp forget the main thing you wanted to wash ohshit 
surprise,"ik moet een zelf bedachte gedicht maken voor school , oehh je mag zelf weten wt je erinzet ! xd "
sadness,cutting off my camp bracelets is such a sad ritual. I mus be reeeeaaalllyy dedicated to this play. 
joy,Tomorrow's Wednesday ) double social studies and Spanish . . / 
joy,The of winning a battle btw a person and a temtation is so good that had to make a tost of drink by that i mean Coca cola 
joy,Whoooooaaaa ! Slow Ya Roll Buddy. ! ( in my white girl voice) 
joy,Frosteas are back at Argo. My favorite part of winter! ! ! argotea 
joy,Metal Gear Rising being made by the Bayonetta devs? Yes please! 
fear,"said he wants to live in u, but he saw fear in your house occupying your space and u wouldn't invite him in ro get rid of "
fear," is not necessarily a bad thing,as long as it does not compromise ability amp desire to recognize amp embrace Truth. "
joy, The scent of your fuzzy peach brings me - it is sooooo gorgeous! 
sadness,State of certainty to state of confusion just like that. . . 
surprise,"RT, follow  and WIN one of the special collector items that we are giving away to our Twitter friends! RT WIN "
joy,Guess I better start another long weekend of work 
sadness,Cody won't be coming anywhere NEAR where I live. At all. ) 
fear,"not afraid of tomorrow, for I have seen yesterday and I love today lessquot "
joy,My hair has decided to be a curly mess today. 
joy,i just finished rewriting all my notes times. now to start writing new notes. an write them times. 
sadness,"Tech is as invigorating as ever,  is near asleep Boredom "
sadness,One of those nights when all I wanna do is listen to my iPod and hide under the covers. . 
joy,ya en casa despues de una noche de jangueo maximo en la ahora a comer algo y a descansar que a las hay que comer en casa de los iaios 
sadness,GOSH! I miss football so much! 
joy,catching up on true blood whilst not studying. . 
fear,God please shine your grace and mercy on this oddly looking lady that's about to cut my hair. Great Clips! 
joy,Finals tomorrow. . . ugh 
joy,"making my awesome sweet potatoes in my bra, dancing like a white irish girl in the kitchen. haha! all alone n full of "
fear,is not a strategy is not a factor is not an option 
joy,"No sleep for me, been up since am thursday morning. . . Now off too go shopping with my mother in a pissy mood. "
fear,"i mean for you to hate it,not me. i love it,but there are a few people in for a rude awakening. is it in you? lmao! ! ! ! ! "
fear, oui mais le proctologue porte à confusion chez un certain public. . . p 
sadness,alot of ppl r sad that their brother is going to college amp leaving them. . . . . . well im sad i cant sell my brother on e-bay. . . . shit 
sadness," I found JhunJhun! And my phone is finally and officially broken. Lol. Also, when am I beating you at tennis again? ) "
surprise,"Shit, made a play in th quarter when it actually count. "
sadness,I'm home watchin this sad movie. Missing college. 
fear,The time has arrived for  to strike in the hearts of the fans. I can't wait. Iwantwrestling 
sadness,Today after mass  and I stop by  's house after mass to only be disappointed that no one was home ( emotions 
joy,and a half hours on a bus full of germans 
anger,  the fact of the matter is that's frowned upon. ” I want to jump through twitter with 
sadness," people shot in West Oakland. All stable but at least serious injury” gtUnfortunately, no one is surprised. Hella ( "
sadness,Guess I'll give up on using the internet for now and do something useful for a change. 
joy,". . . Do not grieve, for the joy of the LORD is your strength. Nehemiah "
sadness,"this yearold eats ,calories a day. oh. my. god. tearsAndstomachache "
joy, I feel like shit. Haha like sick. 
surprise,"not gonna lie, i fucking most of the people i go to school with "
surprise, my nail polish froze in my basement ! 
sadness,  I would LOVE to see! ! Desperate to see. . . . alas no tickets available this weekend. . . . ( 
disgust," I'm sorry my blanket isn't comfortable enough for you, that kid isn't hehasfeelingstoo so what if he eats his scabs. . . "
fear,Intelligence puts man on the throne. Faith puts God there. 
fear,"Its like time runs to me, runs to me faster, fastest. Oh how I make my self beating no well ♬ ♬ "
fear,I wish i could get the lyrics to by  tattoo'd on my body. But that'd be one big ass tattoo 
joy,The snow makes my job just slightly more bearable. . . That is until I have to see tracksuit mcwetass and his fannypack bringing empties 
joy,quotJoy is not the absence of suffering. It is the presence of God. quot Robert Schuller. jesustweeters 
fear,in any form diminishes my ability to think clearly and trust myself. Why in the world is it used as a tool so often? 
joy,Making the best bubble bath by putting every single bath soap in. 
joy,Buenas noches a todos! Despues de un ratito en la a la camita a descansar 
joy,I guess i'll always be mum's n dad's lil girl despite my character as Miss Independent. . lt littlegirlinsideme 
fear,The s not the problem-Your Attention fearful possibilities s the attracting force. Stop quick -Cheryl Janecky loa anxiety 
fear, Got his days numbered. before he go against them clipper boys with the speedos and thong flip flops da beach! ! ! ! 
joy,Suppose I'd better crack on. Have new HV coming out to meet us. 
joy,setting up my grandpas tv with my dad x_x 
surprise,Damn. . . i thought we were friends. . . but i really don't you like bitch Haha 
sadness,awww so close to seeing  at the soundcheck party on tuesday but i have school ( 
sadness, JUST CONFIRMED I'M NOT THE ONLY ONE WHO LOOKS AT THE NBA SCHEDULE DAILY 
joy,Well its half in the morning and cant sleep 
joy, Alright everyone. I'm up this early today. Happy thanksgiving! Thankful” 
fear," not afraid of tomorrow, for I have seen yesterday and I love today lessquot "
sadness,TEARS ARE AH FORM OF PROTECTION. . . IS NOT MY DIRECTION 
joy,when I found out that JLS are doing their tour at the O on my birthday. . . . and I don't have tickets to go. 
fear,The fear of the is the beginning of wisdom. . . doing His will connotes His 
joy,For the next hrs i go from an employed actor - unemployed actor - employed actor - unemployed actor to salesman ! ! 
joy,I actually do get to do s send today but it's Comcast New England Sports Net meaning all Boston sports 
joy,Morning . . Have a lovely day everyone - Wishing your day to be filled with amp Happiness . . Hugz 
sadness,"i just wanna listen to music, but my stupid ass ipod is broke -__- '( "
surprise,Great! You can babysit your nephew! RT    Im coming to stay with yall next week! 
