label,text,avg_attention
shame,When bathing at surf beach lost togs. ,0.05976218
disgust,"When I discovered my mother had been having an affair with my father's best friend, and then ran away with him without even speaking to me about what she was doing letting me come home from school simply to find her gone. I was filled with disgust and contempt. ",0.032708373
disgust,Returning home in the late afternoon I saw an indecent act made by a man with the purpose that I saw it. ,0.0407576
disgust,"When my friends and I were camping in a weekend, and with little food, we met a middle age couple from a small town that invited us to eat in their house. Their house was small, badly built with old and dirty forniture and utensils. The problem was with pans, and dishes, and even the food. ",0.05150098
guilt,"When my father had a serious fight with my sister, because of me. ",0.036067747
shame,"I was working in I. when a friend of mine borrowed his car so I could get bach there, I had to come to S. Paulo and his car was here. He said ""When you get the car tell my mother that you are only taking the car bacause I asked, for she doesn't like me to borrow it"". Next day he borrowed me it again for I had to come back again. When I was coming back I crashed the car quite a lot. One of the first person I met at the accident was his mother, that said to me ""You weren't to take the car only yesterday ? "" (before I saw her I was already ashamed). ",0.089170516
shame,"I was taking place in an anti nuclear protest and was shouting protest loudly to some American sailors of the U. S. Texas submarine. A guy came up to me and said that's your brother screaming at, I felt shame and I realized screaming at another person isn't good protesting. Now I'm a silent protester. ",0.08844354
disgust,I was looking for an object when I came across a rotten corpse of a rat. ,0.050019026
fear,I was at the seaside and my brother disappeared for a couple of hours. ,0.03713225
disgust,I am disgusted with the behavior of a car driver whose car would run over me and my friends during our autumn brigade. ,0.033688176
disgust,"In autumn I had to move to another lodging. My landlords, quite intelligent people, warned me I had to move in the nearest future. But I had difficulties in moving my luggage because I couldn't wait for a car to come. How amazed I was to hear them threatening me they would throw our my things. And at that my luggage was well packed and did not stand in their way. I was quite disappointed and disgusted. ",0.09215505
guilt,I remember when I was a little boy I broke a Swiss dinner set quite involuntarily. ,0.055069778
disgust,Noticing my flat had maggotts ! ,0.053928535
disgust,Watching an alcoholic woman who was approaching everyone at the wharf for cigarettes - a prostitute in Auckland (elderly). ,0.04558746
disgust,Flicking through a magazine showing pictures of homosexual men committing various acts. ,0.040788386
disgust,I saw the gare of a prison. This gare and the building were in deplorable condition and were full of rubbish. ,0.037908964
disgust,"I broke an egg, with which there was something wrong, into a little cup. There was a thick white ""wad"" in it. I tried to take it out and throw it in the sink. ",0.036603224
disgust,A fellow student who seemed very nice later on proved to be a slimy fellow towards a professor. ,0.045572426
shame,After a party in which I made love with a boy in public. Later on I heard that others were talking about me and called me a slut. ,0.053471148
disgust,When I ate a rotten apple. ,0.0599988
disgust,When I saw a scene on T. V where a castration was shown. ,0.029748812
disgust,When I saw a film where a black was rapeing a girl while another one was filming it for a pornographic movie. ,0.041398004
disgust,When I saw several people washing their car with water from a drain. ,0.026001811
disgust,"When after a storm in the country, I left my shelter and saw a big, fat, slimy green toad by my side. ",0.038395237
fear,"When I was walking down the street, some boys showed me a knife and stole all my money. ",0.06491213
joy,I met a girlfriend again after not seeing her for several months. I saw her in a discotheque. We do not like discotheques but we went there because we knew we would meet there. ,0.039021466
guilt,"Once, I accidentally injured a boy in the eye and he almost lost it. ",0.049423818
disgust,Finding a hair in the soup. ,0.05208071
disgust,I was drinking coffee in a cafe and I found a piece of scrubber in my cup. ,0.04490671
guilt,"Due to a misunderstanding on my part, two of my best friends quarelled. ",0.05429074
disgust,"When I was getting up, I found a live cockroach in my bedroom. ",0.035695724
joy,When I heard that someone who is very close to me did very well in the exams despite having fooled around a lot. ,0.03590652
disgust,"On Christmas day a drunk man came to our house without a shirt on, he dansed, spoke nonsense and behaved stupidly. ",0.04213341
disgust,The day I went to eat dinner in the dinning hall and found a dead fly in my gravy. ,0.038126547
joy,I was very happy when I received the year end results as I was worried about how well I had done. I was very happy to know that I had passed. ,0.07388473
disgust,"While watching a movie, someone who was drunk started vomiting helplessly. ",0.050378665
fear,When I had to walk along a dark road alone. ,0.06462159
shame,"A few years back I had proposed love to a girl who later turned out to be related to me. Though we were in love with each other, we both felt ashamed and withdrew from each other. ",0.059730783
disgust,"When I found a maggot in my food at the dinning hall, all the food had gone bad. ",0.050151106
disgust,I saw someone that I thought I knew repeatedly drunk. I do not like to be around alcoholics. ,0.06545199
disgust,I went to the shopping centre to buy something and saw packets of Kapenta with maggots in them. Oh ! ,0.036989976
fear,When I entered the dissecting room for the anatomy class and saw several dead bodies lying on the benches. ,0.028040929
shame,When I did something naughty and it lead to the embarrassment of my parents. ,0.10976542
disgust,Dead rat in the kitchen of the university. ,0.0612309
joy,"Achieving my goal at a swim meet. I worked toward the goal for yrs. I was capable of achieving it, but I didn't know when. ",0.056919575
shame,I was wearing a short skirt one day and someone told me my underwear was showing. ,0.06455514
sadness,My girlfriend wanted to breakup for an indefinite amt. of time. She said that she couldn't commit herself fully to the relationship without going out with other people. I was her first boyfriend. ,0.047725603
fear,"Being involved in a car accident and having my thumb caught in the glove compartment. My sister and I had a Fear of finally telling my parents, since my sister was the driver. ",0.102787614
shame,"I tried after months to begin talking to my boyfriend again. He ignored me. I felt I had lowered my pride and became his ""doormat"". ",0.020143302
fear,That I would do bad in a class and not get into Bus school. ,0.07018408
guilt,Decided at the last minute not to do something that I said I would do with a person. ,0.04609695
shame,I had always been first in my class and in the preliminary board exams I scored the highest marks. Then the exams were postponed and I neglected my studies as I was confident. However when the final results came out I felt ashamed as I had scored less than % marks and my rank in the class was fifth or sixth. ,0.087369286
disgust,[ When I see that the toilet is unclean. ] ,0.066571824
joy,"When the results of the part I exams came out I felt tremendous joy in my heart. The results came out after a long period of worry and anxiety, so it gave me endless relief and joy. ",0.065390974
shame,"This is an event I will never forget. I am considered a good mimic. This particular day we were waiting for a professor to take her class. This professor had a peculiar accent and a very horrible way of lecturing and to top it all we had this class at the fag end of the day. So this particular day I got into my element and started imitating the professor, and the professor entered the class right in the middle of it . I was unaware of her presence, some of my friends tried to warn me but it was of no avail as I was too engrossed in mimicing. Then I suddenly noticed the silence and turned around to see her entering the class. I do not know till today if she actually saw what I had been doing or she had completely ignored it. Through out that lecture I died of shame. All the more shameful was the fact that she gave me a character certificate. ",0.06867163
disgust,"[ This is an everyday feeling. Many situational events causes are unclean and dirty environment, illiteracy, poverty and neglect of human resources, disgust at the lack of perception on the part of us ( educated few) for the lack of drive and drive towards their redemption. ] ",0.021330126
shame,"A few months back I had gone to my friend's place and they offered me tea and coffee. I do not have the habit of drinking tea or coffee and so they offered me a glass of milk instead, so I felt ashamed. ",0.06773881
disgust,"Four weeks ago I felt very much touched to find an asciatic patient who had asked the very morning to be tapped of the fluid, dying in the evening. I was really disgusted because this was the Medical staff's negligence. Had the Clinical officers done something that very morning he might have been alive today. ",0.04939985
guilt,"I had been on friendship with a certain girl for sometime and the love was going on well, but it happened that I made the friendship come to an end suddenly without good reasons. ",0.05095442
disgust,[ When mix was coming from column for several days. ] ,0.029481607
disgust,There was a family fight in my house some time back. My uncle had given me a watch as a present and I lost it. During the fight he accused me of having sold the watch. I was disgusted at his false accusations. ,0.061578263
disgust,In ward A there was a patient suffering from Syphilitic Paraplegia and had pressure sores. The wounds had offensive smell that only a few people . . . . the place. ,0.07178429
shame,"In our class we had a test on Nursing, so a friend from the Army was caught peeping, by using a paper which had already answers which was written by him. So all of us from the Army got ashamed. ",0.093986
shame,At one occasion I was ashamed of being refused after a proposal for a friendship with a certain girl. I was ashamed because she refused publically in the presence of my fellow friends. ,0.11342838
anger,"My best friend started moving out with my boyfriend. When I heard this my heart sank because I didn't expect that my own good friend could do such a thing, so I got angry. ",0.09125132
shame,I was ashamed of being laughed at by my colleagues when I failed to answer a question in the classroom. ,0.060319945
disgust,When a boy I hated most in our classroom took my T Jersey from my desk and put it on. ,0.036989417
shame,I fell off a bike in the presence of a lot of people. ,0.04446447
disgust,Given duty by the leaders which I do not like to do. ,0.039533418
fear,Walking on a dark street with noone around. ,0.05334449
joy,Finding out that I am not ill (not seriously). ,0.042106647
disgust,Saw someone licking his dining bowl. ,0.05824722
shame,"Being insulted in front of my parents, and they believed other people (those insulting me). ",0.021146176
shame,Being criticized by teacher in public. ,0.036763247
disgust,Knowing that I had to do the survey with him I felt very reluctant. Although I do not know him I feel disgusted by just looking at him. Thinking that the project lasted several days I regreted having joined that project. ,0.03787067
shame,"One day, when I was sitting on the bus, there was an old woman standing beside me. I was very tired and sleepy and did not think of giving her my seat. A year old woman who was sitting beside me got up and gave her seat to the old woman and said, "" Old woman, please take my seat, the youngstters these days are not used to giving their seats to others. "" When I heard these words I was very ashamed of myself and wanted to get off the bus at once. ",0.08976481
disgust,When I saw a lot of rubbish and animal waste on the floor. ,0.033507396
disgust,The curriculum of the year ! The English course was very heavy. I had not prepared and the teacher asked several questions during class. The students were not ready to answer the questions and the teacher was frustated. ,0.09251887
