labels,text
joy,When I got to know that I had passed the university entrance exam. I thought that I had done one of the exams badly. 
sadness,My son's mother told me that she wanted to move to Vienna and take the child with her. This means a rather long distance for me. My whole family was sad and dumbfounded so that my own feelings were intensified. 
anger,"Being subject to unfair treatment in a working group, someone ""bending the rules"" was protected by the boss. This resulted in more work for the others. "
sadness,When I got divorced from my husband after ten years of marriage. 
disgust,When the N. Z. rugby union announced that they would proceed with a rugby tour of South Africa. 
fear,"The first day that I was close to a dead body, in my third year at UNZA, school of medicine. "
anger,I had left a student newspaper of the Chinese university on the table of the library. It had disappeared when I came back. 
disgust,"Being on view in a meat-factory. Pigs being cut open, pigs being suspended from nods, blood everywhere, decompsition. "
disgust,When I worked at the life-saving service I was disgusted by a patient whose outward appearance was distasteful. 
sadness,When my dad passed away. 
joy,Getting my accentance letter from CAL. 
sadness,A friend told me about his cousin who is my girlfriend. He said she had treated him in a mean and nasty way. I was surprised because in front of other people she had always treated him in a friendly way. I am very sad about it. 
disgust,"My room-mate was drunk, he vomited on the floor and fell face down on the vomit nearly choking himself to death. Then he fainted and so I called the first aid. "
fear,"I received a phone call from a high school friend whose younger sister studied with me at the University and gave me a lift every moning. She was going to get married to a guy whom I knew too and who had died when he fell from a building, I was afraid to lose somebody since I had already lost a brother in an accident. "
joy,I was filled with joy when I heard that I had been selected to come here at Kamuzu College of Nursing. 
fear,"I had an appointment with a good friend. He came hours later than we agreed upon. During the last hour of waiting I was afraid something might had happened, because usally he is in time. "
disgust,When I see all the putridness of people. The fact is the catarrh and spits that whash the streets of S. Paulo. 
shame,Close friend discovered I had deceived them. Felt shame at having done it and knowing that they knew. 
sadness,"During the Christmas holidays, I went to see my parents and stayed with them for two weeks. After two or three days, we had the same conflicts we had had ten years before when I had lived with them. They were glad when I left. "
anger,"I was disappointed and angry at the bad quality of a documentay program on TV. In my opinion, the topic was important and the program should have been made with seriousness and consideration. "
fear,Going to CAL not knowing anyone. 
shame,During a party I overheard a conversation about china. When I wanted to give my opinion one of the people came out to be Chinese and his opinion was right of course. 
fear,I was attacked by a man at a bus stop at night. 
disgust,"The behaviour of a colleague of mine, which doesn't correspond to my norms of behaviour. "
disgust,"When a girl said in my back that we were in love, and she had actually refused me. When I confronted her she started insulting me. "
joy,"During my first week in Graz I met a girl who I had got to know in the train from Amsterdam to Graz. Although I had considered her very sympathetic, we had seperated without changing our adresses. "
anger,"When I was accused by my brother of having stolen a kwatcha note from my mother's bag. I was beaten up for this, the money was found later. "
guilt,"I had arranged to meet my friends at a certain place, and I was with other people. My friends did not arrive and the people who were with me began to get tired. My friends were one hour late. "
disgust,"Recently in the tram, a man ran his fingers over my girlfriend then over me. "
anger,Mad at my dad. 
guilt,I was late meeting someone for an appointment. 
disgust,"Seeing a friend ""making love"" to a high school girl. I accidentally was dragged into this room where the happenings had occurred. I was disgusted at the reality. "
joy,I realized the girl liked to be with me. 
disgust,When I think now about the way my father behaved when filing a divorce. 
sadness,"When my grandmother passed away. We had been waiting for it as she had been sick for years, but when it happened I found it hard to accept. "
sadness,"At my grandfather's funeral. I remembered that the thing he liked and respected most was earth, I thought that he had attained what he wanted and was not separated from it any longer. "
sadness,When my father died. 
sadness,Due to some reasons my boyfriend and I decided to separate. 
disgust,I had to wash my grandmother because she did not get to the bathroom on time. 
fear,"When we had swimming instruction, we had to take a header from the springboard. I usually refused to do that, but at least I was forced to. "
anger,I had been in love with a certain young man who pretended to love me but one day I found out that he had another girlfriend who was also a friend of mine. 
anger,When in a difficult moment I couldn't express myself correctly and my thought came out with distortions bringing about highly negative and distorted results. 
anger,""" I have been hearing rumours that you have not been allowing people in your room,"" he said. This sentence really shot my heart. I failed to find the right words, instead I walked away without uttering a word. "
joy,When seeing a friend that I had not seen in a long while. 
guilt,When I was about years old and I stole some pens from a stationery store because I didn't have enough money. 
guilt,I got into a bad fight in a bar and my friend received a bad cut above his left eye while trying to separate us. 
joy,"To be able to prepare myself better for an important examination, I did not spend the nitht with my girl-friend but in the students' hostel. I had not done that for months. The day when I had the examn, somebody knocked at my door at seven o'clock in the morning. My girl-friend who likes sleeping late, had come to be able to be with me. "
disgust,"When an acquaintance (he was drunk) of my room-mate vomitted on the kitchen carpet. It was past mid-night and my room-mate had just moved in, this acquaintance had helped her move in. "
shame,"When I realized that my bathing suit was spotted, I had became menstruated. "
guilt,After the death of a girl who I disliked. 
disgust,"-letter words on a TV programme (Roche) while we were entertaining ""conservative"" relations who wanted to see the first episode. "
sadness,A friend of mine was hurt as he thought that our relationship was not the same as before and something had gone wrong. 
sadness,"After I had lived with my boyfriend in a foreign country for half a year, I saw that it was impossible for me to stay with him (for economic reasons). We separated although I loved him. "
shame,After having failed my driving test. 
shame,"On one occasion whilst engaging in horseplay with my girlfriend, I caused her to be physically harmed. "
shame,"I was with a group of people and everybody told me to do or say something. It was a confusing, strong and traumatic situation for me. "
fear,Late one night I was pursued by gipsies who had no good intentions. 
anger,I felt it on the same occasion when I felt sadness which finally grew into anger. 
anger,"It was quite recently, at the football match between the national teams of Bulgaria and France. I felt strong anger with the Scottish referee who ran the match quite partially. "
disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners. "
sadness,When my grandfather died. 
fear,When my husband and I spent a night by ourselves in a house which was in an area on the outskirts of a large town with which we were not familiar. We heard strange noises outside the house and the house had glass walls so the whole thing was even more frightening. 
shame,"At a concert an old man arrived and began to danse, sing and do silly things. "
guilt,I have cut loose from my father a few years ago. I know he is very sad about this. 
disgust,I'm very disgusted when I see people abusing their body with drugs and alcohol. They take advantage of these things usually for an excuse for the fantasies which they like and so they do things stupidly and unjustly. 
shame,It was my father's birthday party when I was asked to bring a tray of tea and other drinks. 
sadness,"When a friend, who has been with me at school, failed to make it to UNZA. "
shame,"After taking a difficult midterm for one of my classes, I felt shame for not studying as much as I should have. I was ashamed of the results of the midterm. "
fear,Finding out in your lecture that a doctor can make misdiagnoses because of ignorance in neuropsychology. 
sadness,When I forgot the lyrics during a song contest. 
guilt,"When I was a little girl about eight years old I broke the bey from a closed. Mother asked who did it. I said that it wasn't me, as I almost never lied, and my brother did it more frequently in spite my brother denieing it my mother gave him a few slaps. "
shame,"A few days back I had a tutorial class and the teacher randomly assigned one person in each group to make a presentation. The discussion in our group had been confused and the presentation was not very well prepared. Unfortunately I was selected to present and I could not keep calm, was confused and result was very poor. I really felt ashamed. "
guilt,My wrong behaviour made my loved one feel sad and uneasy. 
sadness,When I got separated from the man I loved so much. 
joy,I felt joy when my two twin sisters were born. 
joy,"My sister in law was about to have a child, and there were some problems. They had to do a Caesarean. After a while, everything was all right. "
sadness,"Estrangement from my best woman friend. We have been going different ways for quite some time now, but the break was total when she got married as her husband is unreasonably jealous of me. "
shame,"An argument that grew out of an ordinary conversation with a person very close to me, when we should have been having a good time together. "
shame,The day I learnt that my girlfriend had been going around with a close friend of mine. 
sadness,When I left a man in whom I really believed. 
shame,When I did something naughty and it lead to the embarrassment of my parents. 
joy,When my application for studying the masters degree was accepted. 
sadness,After shouting at a friend. 
anger,"My mother and I had an argument over buying some clothes for me. She did not accept the fact that I did not like the same things as her, and we ended up shouting at each other. "
guilt,When I broke up my relationship with my former girlfriend as she would ask me irrelevant quetions about my past. 
joy,It was when I was selected to go to a Secondary school to start form I. 
fear,Being alone in the room at night. 
sadness,When my grandmother died I had a stronger relation to her than to my mother. 
sadness,When a friend of mine told me that he was going to commit suicide. 
fear,"In a cottage in a large forest, I was alone for a while in the dark. "
disgust,When I happen to witness some sadistic acts. 
guilt,When my behaviour was immoral - thinking about sex. 
disgust,"I feel disgusted with toadies, hypocrites, chameleons. "
sadness,When the mother of a good friend of mine died. 
joy,My son was born. 
fear,"When I stepped on a snake at home, it was dark but there was moonlight. "
guilt,One of my pupils escaped from school to the street. 
fear,"When my mother threatened me with thrushing me of the stairs, when I once more should make a comment. "
guilt,In an exam I answered the questions rather carelessly and afterwards I thought that the exam would have been better had I answered more carefully. 
sadness,"When my father passed away in . I was left alone with my mother who was very sick so I had to go and live with my aunt, who is very short tempered, till my mother was discharged from the hospital. "
anger,I felt angry when my only pair of trousers was stolen and could not be able to find out who the thief was or anyone who knew about the story. 
fear,I was at home and I heard a loud sound of spitting outside the door. I thought that one of my family members would step on the spit and bring the germs in the house. 
fear,Once I failed seven subjects at school and I was terrified to give my report card to my father. I left it on the table and went to bed very early in order to avoid him seeing me. 
guilt,I told someone that I still had a relationship with a boy although it was finished already months before. That person seriously discussed several things relating that issue. Then I felt very miserable because I had told lies. 
disgust,"A friend of mine was telling jokes which I felt to be very disgusting, especially because I was eating. "
sadness,A very close friend left me. 
anger,"When talking with my sister, she often ventilates prejudices, which my father also adheres. "
guilt,We had had a party the night before and we still had some liquors left the morning after. I went to the kitchen pretending to prepare some tea and was caught by my fiancee pouring some rum down my throat. 
fear,Before an examination. 
shame,News was spread that I had been found doing sexual intercourse with a small girl. At first this annoyed me but later on I became ashamed because many people seemed to believe it. 
disgust,"When I was a child, I was sometimes forced to eat things that disgusted me. "
disgust,When I ate a rotten apple. 
disgust,"A dirty person, smelling bad and unknown laying on me. "
disgust,"I was driving along and saw this young guy urinating into the gutter, in broad daylight. "
shame,"A children's film in which I played a clown, with spotlights, cameras and the director who demanded jumps and guffaws. "
sadness,Passing away of my father. 
shame,Being unable to stop urinating on the bus. 
shame,When I tried to steal a book from the bookshop and was caught. 
disgust,"When one individual takes advantage of and/or injures another relatively defenseless individual, consciously. I feel disgust mingled with anger. A person on my dorm floor verbally assaulted another person for having a certain religious belief. "
sadness,My cat was sick and I had to take him to the vet to be put down - no one else there to do it. 
disgust,"After my +, when I did not get admission in B. E I felt disgusted. "
fear,"My friend and I had offended our classmate unintenionally. We wanted to apologize to her so we decided to visit her. We knew that she was stubborn so we were frightened. When we rang her door bell, our fear was at it's climax "
guilt,I was caught sneaking sweets. 
guilt,"When I was taking the th standard exam, my friend who was sitting behind me asked me for some answers. The teacher looked at us just then and scolded both of us. Everyone started looking at us and I felt very guilty. "
shame,When I am angry at someone without a good reason. Later on it proves that he didn't do anything wrong. 
fear,I was walking home with a friend at night along a quiet street. Something started rustling in the bush it was an exhibitionist. 
shame,When I was young I was told to to the shop to buy a dozen eggs. I went and asked for one egg and the people in the shop laughed at me and so did my family when I told them what had happened. 
disgust,Saw an arrogant girl walking pass by. 
anger,When my mother treats me as a -year old boy. 
fear,"A teacher wanted to instill a certain opinion and a certain behaviour into myself, what I refused. I was afraid when I saw him. "
shame,When I excreted on the mat instead of the potty. 
shame,"I was watching T. V with my parents and some pornographic scenes came on, I felt uncomfortable and tried to distract my parents attention by talking to them. "
shame,"When I began to date, the first gestures of affection made me feel ashamed. "
anger,When I found out that my sister had been playing with my confidential things which she had taken from my hand-bag. 
guilt,"When I was , we spent our holidays at the seaside. My sister and her friend wanted to go to a bay on an undangerous way. I wanted to arrive before them and went on a shorter, but more dangerous way. When I arrived, I found nobody there. I waited for a long time, but nobody came. On my way back I met my mother who had been searching for me desperatly. She did not scold me, but I saw how much she had worried (herself). "
disgust,"Getting back my math midterm, I received a lower grade than I thought I would get. After going through the questions I felt that the grader had graded harshly and I had made only a few ? errors. "
fear,When my father's home was to be broken into by thieves who had guns. 
shame,Not handing in homework in time. 
fear,I was alone in a cottage I often stay in. I was woken up by a rustling sound in the middle of the night. 
sadness,Losing my temper to my sister. 
fear,When I had to walk along a dark road alone. 
shame,"When I did not do well in the PG test I, I got only marks above the pass marks despite my effort. I felt bad because quite a number of friends did better. "
anger,When I was insulted by a man. 
sadness,When one of my cat died of a disease. 
anger,"When my flatmate put me down because she ""thought"" she was better than me, or she felt she was. "
joy,Good news about a sick relative. 
sadness,A case of unrequited love. 
anger,Someone who always took care for the key of the sportshall stayed away without letting us know. Next time he did as if nothing had happened. 
joy,Getting a part-time job. 
guilt,When I had drunk too much and nearly got an alcohol poisoning. 
guilt,Not applicable to myself. 
shame,When my new jeans split while I was with the youth group. 
disgust,When my husband told me about his pre-marital affairs. 
fear,When I was told that the form five results were out. 
disgust,When my mother betrayed me by obtaining money from my husband when we were separated - pending divorce. 
fear,Staying alone in the dark. 
guilt,"I was going around with a girl without loving her. Not only did I go around with her, but we did many more things. In the end I was not very sincere to her. "
sadness,"The funeral of a friend who was killed in a car accident. She was of my own age, there were many of my own friends present, as well as her family etc. "
sadness,"When my grandmother, who has been living with us for years, had a stroke and was left paralysed on one side. She has been quite close to our family and to see her suffer in this way makes me feel really sad. "
disgust,"When my friends and I were camping in a weekend, and with little food, we met a middle age couple from a small town that invited us to eat in their house. Their house was small, badly built with old and dirty forniture and utensils. The problem was with pans, and dishes, and even the food. "
disgust,A story I heard recently about a baby dying after sexual abuse. 
shame,"I stayed at home for a period because I felt depressive and I neglected my study when people adked me, I told them that I had freeterm and studied hard. I felt ashamed for my behavior and lies. "
disgust,When I went to the clinic for a medical check-up and saw the way the lecturer was conducting the lecture and the kind of responses he got from the patients. 
joy,"My girlfriend wrote to me telling me that she was four months pregnant and that I was responsible for the ""damages"". This made me happy as I longed to have a child to call mine. "
joy,Being invited out by a person I wished to get closer to. He telephoned and invited me to go out with him the next night. 
disgust,People who discriminate other people disgust me. 
joy,When I was accepted at UNZA. 
disgust,A young man was insulting and humiliating a drunken man. 
fear,First time in anatomy. 
shame,At a cross-country race I wanted to take a short-cut (which is not allowed). I was caught and disqualified. All my friends had observed that. 
anger,Saw in the TV South Korea cheating in the Asian Olympic games. 
guilt,I ignored and offended my parents on the eve of the New Year. 
fear,At noon one Sunday I received a phone call telling me that my mother had been knocked down by a car at the street crossing and that her husband should go and see her. I could not believe this as my father and my mother had gone out together to buy lunch boxes. However I immediately ran to the scene of the accident. 
fear,I remember that my form teacher was very fierce and dogmatic. My feet would tremble whenever I saw her but I had to face the fact that I had to go for her class. 
sadness,"I could not meet my love, after having waited for a month, due to illness. "
joy,I learnt from the newspaper that I had been accepted at the Chinese university of H. K. It was o'clock in the morning. Later I told my family and relatives about it and had tea with them very joyfully. 
guilt,I had lunch with my ex-boyfriend and did not mention it to my fiancee. I felt guilty despite the fact that I felt nothing for my ex-boyfriend. 
shame,When I forgot the birthday of my best friend and I innocently came to visit her one week later. 
fear,"When I was walking at night, I saw fire suspended in the air and it was split into several segments by something I could not see. I suspected that it was witch-craft. "
guilt,I added a little ? to a yield in an experiment to get more of a yield. 
disgust,When I saw a spider. 
fear,"I was with a friend in a stationed car when, suddenly a man appeared on my side and an other with a gun on his side the hold-up lasted a few minutes but it was terrible. I had never seen a gun so close. "
shame,Someone told me I was chosen for the English lectures because I am good looking. 
guilt,Once I promised to do something but I didn't do it. 
fear,"When a car ran into me. The moment that I felt on the street I thought ""This is my end, I am going to die"". "
fear,When I crashed my car. 
fear,During a football game I made an offence towards an acquaintance. Later on this acquaintance also tackeled me and the game became very rude. 
sadness,Our dog had to be shot because he had killed a roe. I liked him very much and so I could not resign myself to that. I hated the hunter who shot him. 
anger,[ An unfair punishment. ] 
fear,When I came to know that my exams were on two successive days and that there was very little time (about - hours) to study in between. 
joy,Managed to run Km on skis fairly simply. 
fear,I had been drinking with a pal and I later ( o' clock) had a date with my fiancee. We were going to a Spanish lesson and I was afraid that she would smell that I had been drinking. 
anger,When my parents drove me to a nearby place and went home immediately instead of waiting a few hours. They could have easily waited. 
sadness,"When I applied for a job which I thought I had a good chance of getting, I was not even granted an interview and did not get the job. "
disgust,When I saw a film where a black was rapeing a girl while another one was filming it for a pornographic movie. 
anger,"When you kill yourself with work and see the number of slakers wandering around, doing nothing. "
disgust,"Prolonged ""niggling"" of friend on a single theme which I considered of no consequence. "
disgust,"When a drunkard, in town yelled at me saying that I was a prostitute. "
disgust,"I took a psych. experiment with a totally unappealing gay man as the experimentor, some homosexuals are funny or cute, but this guy was disgusting. Plus the experiment was about gays too. "
anger,"A honest ""sliding"" on the part of a girlfriend of mine. Terribly crossed I started breaking things and tearing books. "
anger,"When a man, a stranger to me, personally insulted a close woman friend of mine in public. "
joy,After each successfully passed exam I am happy. 
sadness,"I felt very sad when I lost my three Kwacha at civo Stadium when Sam Mangwana was playing some Rumba records. That was not what I expected, I wanted some Disco records. "
anger,Insulted by the class leader. 
sadness,My grandfather's death. 
joy,"I was biking with my boyfriend, the sun shining after a long period of bad beather, afterwards we spent the evening and night together. "
guilt,"When I broke off with my boyfriend after three years. It was quite unexpected for him and there was no particular reason for the break up, such as someone else. "
sadness,When I found that my coldness had hurt somebody's sincerity. 
anger,I felt very angry after one driver had run over my beloved niece. 
joy,Found out that me and my best friend are both chosen for the English lectures. 
guilt,"A friend of mine was drunk and having an argument on the street with a woman, appparently his girlfriend. I was walking on the other side of the street and thought that I was not supposed to interfere. Later I heard that he had shot himself that evening. "
guilt,"I saw a neighbour, from the same appartment block as me, lying on the road. He could have been injured or ill. I kept metres away and did not go to help him. "
shame,Not quick enough to help the lectors to catty things for the lecture. 
guilt,My father had been alone for a long time because my mother and sister were on holiday. I had not seen him for a long time and when I finally called him I realized that he had been very sad about that. 
guilt,I was in grade seven and my class was planning a protest against a rude and immoral teacher. I sneaked out and told the headmaster about it and so the plan was foiled. 
guilt,"It happened when I still went to school I got closer to a girl but I considered it only as an ""affair"". Only much later I realized how painful this must have been for the girl. "
fear,A friend and I were going to have a study session together in which we quiz ourselves in biology material. Because I believed I didn't study enough. I feared I would fail. 
fear,I was afraid that I would fail an examination. 
guilt,"When I decided my first marriage had ended, and left with the child. I felt overwhelmed by guilt as I was separating mother and child. "
guilt,I ran over my dog with a bicycle when I was carrying him tied to the handle bar. 
shame,When I broke a tea saucer. I felt ashamed. This was during the birthday of my girlfriend. 
joy,On my birthday I got a present that I had desired for a long time. 
fear,I felt afraid just before receiving the question paper of the part II exam. 
sadness,It happened when I lost two very intimate friends in a car accident. 
anger,I had an exam and I had it well prepared. I did the first part very well but did not know the second part. 
shame,"I feel shame when sometimes, (unconsciously) I behave unethically and without understanding the problems of the man I love. "
joy,I felt glad when I took the rather difficult organic chemistry examination. 
shame,First time going out with a boy and other people laughed at us. 
shame,"I am ashamed when I am not ready for my seminar in internal diseases, simply because the assistant professor is a person who deserves high respect. "
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. 
sadness,"When my grandfather died I was extremely sad. However my family members did not have any special feelings, they said that he was already years old. "
anger,"I was not given a chance to explain to my close relatives as to why I could not go to visit them when they were ill. When I did go, they thought that I had been selfish and irresponsible during their illness. "
shame,"I was carried away while talking about my visits abroad and I tended to boast a little, till I realized that the listener was amused. "
anger,Something was stolen. 
disgust,I was disgusted to find out that the water isn't filtered or purified before it leaves Latimer Hall from the drains. 
shame,"Because I was lazy and unthoughtful I did not get into contact with a very close friend when she shifted from the Gold Coast to Brisbane, for a month, despite her efforts to contact me. I felt shamed when I finally confronted her again. "
fear,"One day before Christmas, I went shopping with my brother and his friend. We had a good time. But on the way home we were almost in an accident because the weather was bad. "
anger,"When my mother decided to clean out my room and throw out what she thought was junk, without my knowing about it, so I returned home to find half my stuff gone. "
guilt,A boy who shot dead a squirrel. 
sadness,When I try to get closer at a person and she misinterpreted me. 
sadness,"I saw a dead child which was not covered, it had been knocked down by a car. "
fear,"Lost my purse, the money in the purse belonged to my parents. "
guilt,I joked with an unfamiliar friend in an obstinate tone. I was afraid of his misunderstanding me and being hurt and angry at me. I felt sorry over my conduct and thought that I had to find an opportunity to apologize. 
fear,"I went home all alone from a restaurant. It was dark, I went very fast. Behind me, there were some drunk men who shouted at me. By chance, I met some friends who accompanied me. "
disgust,Can't describe any disgust situation. 
shame,I lied to my best friend and I wouldn't reform what I had done. 
anger,A man treated his dog very badly - he insulted and beated him until the dog kept lying on the floor with his tail drawn in. 
disgust,"While reading Olli Jalonen's new book, the distant, cold and selfish relationships between people (in the book) made me feel disgusted. "
joy,"""Boy, you have been admitted to the medicine school and your uncle is coming back fron Canada next week,"" my father told me and it was a happy moment. "
guilt,I felt guilty at not having practised the piano. I waste my teacher's time and guidance. 
shame,I was ashamed one day when we were found stealing and roasting maize cobs from Agricultural experimental projects. 
fear,I got a very nasty electrical shock when I was tampering with some electrical applainces. 
sadness,Years ago on Christmas Eve I felt very sad because I realized for the first time how I missed my father who had died at Christmas Years ago. 
anger,"Two boys whom I know were telling me, in an indecent manner, how they had teased a young and shy girl I know. They had despised her conviction, scorned and touched her. I got very angry and did not try to conceal it and gave it back to them. "
joy,"Went to a movie with a date, walked on the beach (in Alameda) spent some time afterwards in her apt. "
guilt,"I had made an appointment with a girl to go to the movies, but actually I had no mind when we arrived at the cinema, it was a full house. I then went back and she went to the movie alone. "
joy,When I got married. 
disgust,I felt the emotion when I entered a certain ward in the hospital to visit my relative who was sick. 
shame,Not doing well in an examn. 
joy,When I got my drivers licence. 
disgust,"A friend and a girlfriend went to Rome for days with their class. When they were back home I heard people tell ""strange"" stories about my friend and that girlfriend. "
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. "
